Sample ID,Well,ITS_per_ul,core_type,seq_id_raw,seq_id,Material
None,G10,,None,,SM1,Wood
SM3Inner,G11,1,Inner,SM3,SM3,Wood
None,G12,,None,,,Wood
WP102Outer,H01,64,Outer,WP102,WP102,Wood
WP5Outer,H02,10003,Outer,WP5,WP5,Wood
WPX5Outer,H03,2,Outer,WPX5,WPX5,Wood
RO10Outer,H04,2,Outer,RO10,RO10,Wood
RO2Outer,H05,2,Outer,RO2,RO2,Wood
H102Outer,H06,1,Outer,H102,H102,Wood
None,H07,,None,,,Wood
RM10Inner,H08,187,Inner,RM10,RM10,Wood
RM304Inner,H09,123,Inner,RM304,RM304,Wood
SM10Inner,H10,24,Inner,SM10,SM10,Wood
None,H11,,None,,SM5,Wood
YB11Inner,H12,10,Inner,YB11,YB11,Wood
YB11primeInner,A01,0,Inner,YB11prime,YB11',Wood
YB5Inner,A02,3,Inner,YB5,YB5,Wood
BB12Inner,A03,17,Inner,BB12,BB12,Wood
BB7Inner,A04,7,Inner,BB7,BB7,Wood
PB2Inner,A05,2066,Inner,PB2,PB2,Wood
AB11Inner,A06,8,Inner,AB11,AB11,Wood
AB6Inner,A07,16,Inner,AB6,AB6,Wood
WA102Inner,A08,17,Inner,WA102,WA102,Wood
WA5Inner,A09,20,Inner,WA5,WA5,Wood
WP3Inner,A10,4,Inner,WP3,WP3,Wood
WP8Inner,A11,0,Inner,WP8,WP8,Wood
BC2Inner,A12,7,Inner,BC2,BC2,Wood
None,B01,,None,,,Wood
YB9Inner44c,B02,840,er44c,YB9Inn,YB9,Wood
BB13Inner,B03,18,Inner,BB13,BB13,Wood
BB8Inner,B04,28,Inner,BB8,BB8,Wood
PB3Inner,B05,299,Inner,PB3,PB3,Wood
AB2Inner,B06,121,Inner,AB2,AB2,Wood
AB6primeInner,B07,6,Inner,AB6prime,AB6',Wood
WA103Inner,B08,10,Inner,WA103,WA103,Wood
WAX1Inner,B09,3788028,Inner,WAX1,WAX1,Wood
WP4Inner,B10,1,Inner,WP4,WP4,Wood
WP9Inner,B11,9,Inner,WP9,WP9,Wood
BC4Inner,B12,3490737,Inner,BC4,BC4,Wood
YB13Inner,C01,7,Inner,YB13,YB13,Wood
YB9Inner45c,C02,715,er45c,YB9Inn,YB9,Wood
BB14Inner,C03,24,Inner,BB14,BB14,Wood
BB9Inner,C04,1155,Inner,BB9,BB9,Wood
PB4Inner,C05,58,Inner,PB4,PB4,Wood
AB3Inner,C06,97,Inner,AB3,AB3,Wood
AB9Inner,C07,13,Inner,AB9,AB9,Wood
WA103starInner,C08,2,Inner,WA103star,WA103*,Wood
ML2Inner,C09,45,Inner,ML2,ML2,Wood
None,C10,,None,,,Wood
WPBERENICEInner,C11,5,Inner,WPBERENICE,WPBERENICE,Wood
WO1Inner,C12,5173845,Inner,WO1,WO1,Wood
None,D01,,None,,,Wood
None,D02,,None,,,Wood
BB16Inner,D03,16,Inner,BB16,BB16,Wood
BBGT1Inner,D04,8,Inner,BBGT1,BBGT1,Wood
PB5Inner,D05,3,Inner,PB5,PB5,Wood
AB3slash5Inner,D06,5,Inner,AB3slash5,AB3/5,Wood
ABT14PInner,D07,22,Inner,ABT14P,ABT14P,Wood
None,D08,,None,,,Wood
MLGPInner,D09,5,Inner,MLGP,MLGP,Wood
WP402Inner,D10,3726119,Inner,WP402,WP402,Wood
