Feature ID	Taxon
seq33	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq34	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq35	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq36	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq37	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq38	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq39	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq40	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq41	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq42	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq43	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq44	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq45	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq46	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq47	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq48	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq49	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Oenococcus; none
seq50	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq51	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq52	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq53	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq54	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq55	Bacteria; none; none; none; none; none; none
seq56	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq58	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; none; none
seq59	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq60	Bacteria; none; none; none; none; none; none
seq61	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq62	Bacteria; none; none; none; none; none; none
seq63	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq64	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq65	Bacteria; Firmicutes; Clostridia; Oscillospirales; none; none; none
seq66	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq67	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Frankia; none
seq68	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; none
seq69	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq70	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; none; none
seq71	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; none; none
seq72	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq73	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq74	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq75	Bacteria; Firmicutes; none; none; none; none; none
seq76	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq77	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; none; none
seq78	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq79	Bacteria; none; none; none; none; none; none
seq80	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq81	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq82	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq83	Bacteria; Firmicutes; none; none; none; none; none
seq84	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium; none
seq85	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq86	Bacteria; Firmicutes; Clostridia; none; none; none; none
seq87	Bacteria; none; none; none; none; none; none
seq88	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq89	Bacteria; Actinobacteriota; Actinobacteria; Kineosporiales; Kineosporiaceae; Kineosporia; none
seq90	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq91	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq92	Bacteria; none; none; none; none; none; none
seq93	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; none; none
seq94	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq95	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq96	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; none
seq97	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq98	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq99	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq100	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; none
seq101	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; none; none; none
seq102	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq103	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Piscinibacter; none
seq104	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq105	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq106	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq107	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq108	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq109	Bacteria; none; none; none; none; none; none
seq110	Bacteria; none; none; none; none; none; none
seq111	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq112	Bacteria; none; none; none; none; none; none
seq113	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq114	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq115	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq116	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq117	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq118	Bacteria; Firmicutes; none; none; none; none; none
seq119	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq120	Bacteria; none; none; none; none; none; none
seq121	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq122	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq123	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq124	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq125	Bacteria; Planctomycetota; Planctomycetes; Planctomycetales; none; none; none
seq126	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; none; none; none
seq127	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq128	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq129	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; none; none; none
seq130	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; none; none; none
seq131	Bacteria; none; none; none; none; none; none
seq132	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq133	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq134	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq135	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq136	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Acidothermaceae; Acidothermus; none
seq137	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq138	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq139	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Frankia; none
seq140	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq141	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; none
seq142	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq143	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium; none
seq144	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq145	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq146	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; none
seq147	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq148	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq149	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq150	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq151	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq152	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq153	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq154	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; none; none; none
seq155	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq156	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq157	Bacteria; Proteobacteria; Alphaproteobacteria; none; none; none; none
seq158	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq159	Bacteria; Planctomycetota; Planctomycetes; Isosphaerales; Isosphaeraceae; Aquisphaera; none
seq160	Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; none; none; none
seq161	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Roseiarcus; none
seq162	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq163	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq164	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; none; none
seq165	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia-Caballeronia-Paraburkholderia; none
seq166	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; none
seq167	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq168	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq169	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq170	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq171	Bacteria; Actinobacteriota; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis; none
seq172	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; none; none
seq173	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq174	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq175	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq176	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq177	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Delftia; none
seq178	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq179	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Phytoactinopolyspora; none
seq180	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq181	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq182	Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; none; none
seq183	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; none
seq184	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Endobacter; none
seq185	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq186	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq187	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq188	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq189	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; none; none; none
seq190	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Bryocella; none
seq191	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; none; none; none
seq192	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq193	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Bryocella; none
seq194	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq195	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq196	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq197	Bacteria; Proteobacteria; Alphaproteobacteria; none; none; none; none
seq198	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Puia; none
seq199	Bacteria; Myxococcota; Polyangia; Haliangiales; Haliangiaceae; Haliangium; none
seq200	Bacteria; Cyanobacteria; Cyanobacteriia; none; none; none; none
seq201	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq202	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; none; none; none
seq203	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq204	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; none; none; none
seq205	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Frankia; none
seq206	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; none; none
seq207	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq208	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq209	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Acidothermaceae; Acidothermus; none
seq210	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq211	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq212	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq213	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Endobacter; none
seq214	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq215	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq216	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq217	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium-Methylorubrum; none
seq218	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq219	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; none
seq220	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; none; none; none
seq221	Bacteria; Proteobacteria; Alphaproteobacteria; none; none; none; none
seq222	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq223	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; none; none; none
seq224	Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae; Conexibacter; none
seq225	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq226	Bacteria; Actinobacteriota; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Nocardiopsis; none
seq227	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Granulicella; none
seq228	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq229	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; none; none; none
seq230	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq231	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; none
seq232	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq233	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq234	Bacteria; Actinobacteriota; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Pseudonocardia; none
seq235	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; none; none; none
seq236	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq237	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; none; none
seq238	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; none; none; none
seq239	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans; none
seq240	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq241	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Frankiaceae; Jatrophihabitans; none
seq242	Bacteria; Proteobacteria; Alphaproteobacteria; Elsterales; none; none; none
seq243	Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae; none; none
seq244	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq245	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq246	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq247	Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae (Subgroup 1); Granulicella; none
seq248	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Phytoactinopolyspora; none
seq249	Bacteria; Actinobacteriota; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq250	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq251	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq252	Bacteria; Actinobacteriota; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq253	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Mitochondria; none; none
seq254	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq255	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria Incertae Sedis; Unknown Family; Acidibacter; none
seq256	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq257	Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; none; none
seq258	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
seq259	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq260	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq261	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq262	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Roseiarcus; none
seq263	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq264	Bacteria; Acidobacteriota; Blastocatellia; Blastocatellales; Blastocatellaceae; Aridibacter; none
seq265	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; none; none
seq266	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; 1174-901-12; none
seq267	Bacteria; Acidobacteriota; Acidobacteriae; Subgroup 2; none; none; none
seq268	Bacteria; Proteobacteria; Gammaproteobacteria; WD260; none; none; none
seq269	Bacteria; Actinobacteriota; Actinobacteria; Micrococcales; Microbacteriaceae; none; none
