	QUVE200HEART2.16S.S490	QUVE200SAP.16S.S492	QUVE400BARK1.16S.S494	QUVE400HEART1.16S.S496	QUVE400HEART2.16S.S498	QUVE400SAP.16S.S500	QUVE50BARK1.16S.S502	QUVE50HEART1.16S.S504	QUVE50HEART2.16S.S506	QUVE50SAP.16S.S508	QUVE600BARK1.16S.S510	QUVE600HEART1.16S.S512	QUVE600HEART2.16S.S514	QUVE600SAP.16S.S516	QUVE800BARK1.16S.S518	QUVE800HEART1.16S.S520	QUVE800HEART2.16S.S522	QUVE800SAP.16S.S524	QUVEBRANCH1.16S.S526	QUVEBRANCH2.16S.S528	QUVEBRANCH3.16S.S530	QUVEBRANCH4BARK.16S.S532	QUVEBRANCH4INT.16S.S534	QUVECOARSE1.16S.S536	QUVECOARSE2EPI.16S.S538	QUVECOARSE2INT.16S.S540	QUVECOARSE3.16S.S542	QUVECOARSE4.16S.S544	QUVEFINE1.16S.S546	QUVEFINE2.16S.S548	QUVEFINE3.16S.S550	QUVEFINE4.16S.S552	QUVEFOLIAGE1.16S.S554	QUVEFOLIAGE2.16S.S556	QUVEFOLIAGE3.16S.S558	QUVEFOLIAGE4.16S.S560	QUVELITTER1.16S.S562	QUVELITTER2.16S.S564	QUVELITTER3.16S.S566	QUVELITTER4.16S.S568	QUVEMINERAL1.16S.S570	QUVEMINERAL2.16S.S572	QUVEMINERAL3.16S.S574	QUVEMINERAL4.16S.S576	QUVEORGANIC1.16S.S578	QUVEORGANIC2.16S.S580	QUVEORGANIC3.16S.S582	QUVEORGANIC4.16S.S584	QUVEROT1.16S.S586	QUVEROT2.16S.S588	QUVE125HEART2.16S.S482	QUVE125SAP.16S.S484	QUVE1000SAP.16S.S476	QUVE125HEART1.16S.S480	QUVE200BARK1.16S.S486	QUVE200HEART1.16S.S488	QUVE1000HEART2.16S.S474	QUVE1000BARK1.16S.S470	QUVE125BARK1.16S.S478	QUVE1000HEART1.16S.S472	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq38	0	112	0	56	188	31	0	0	0	33	0	0	0	14	50	0	0	88	43	40	215	62	273	17	0	0	37	0	0	0	0	0	349	273	215	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	56	0	0	0	0	0	0	63	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq39	36	106	0	36	46	47	0	34	0	255	0	0	67	49	0	38	21	78	22	13	19	0	0	133	190	142	90	201	23	145	0	30	49	0	17	29	0	0	0	0	0	0	0	0	0	89	0	0	0	0	61	190	134	30	0	31	0	0	72	51	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq40	0	106	0	0	184	45	0	0	0	34	0	0	47	0	0	0	0	113	42	36	188	56	283	0	0	0	35	0	0	0	0	0	356	270	222	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	42	0	0	0	0	0	0	31	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq41	0	105	0	0	189	65	0	0	68	29	0	0	8	19	0	0	0	105	40	43	182	56	259	0	0	0	21	0	0	0	0	0	369	262	203	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	50	0	0	0	0	0	0	36	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq42	0	145	0	42	53	66	0	0	0	240	0	0	55	66	0	35	30	67	0	0	14	0	0	122	190	172	71	242	24	160	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	57	168	112	0	0	33	0	0	86	30	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq43	0	88	0	0	42	38	0	0	0	219	0	0	47	51	0	0	30	76	29	42	60	0	0	114	207	159	80	221	24	164	0	0	46	0	73	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	47	165	129	0	0	42	0	0	98	18	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq44	0	89	0	0	205	43	0	0	0	23	0	0	0	0	0	0	21	101	39	42	155	38	279	33	0	0	11	0	0	0	0	0	356	244	188	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	62	0	0	0	0	0	21	35	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq45	0	126	0	26	58	47	0	0	0	235	0	0	62	55	0	29	30	64	22	36	0	0	0	112	182	133	62	177	19	169	0	0	59	0	40	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	51	142	117	13	0	40	0	0	82	26	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq46	0	90	0	0	175	33	0	0	0	33	0	0	0	0	0	0	42	106	39	40	166	62	249	52	0	0	0	0	0	0	0	0	292	223	178	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	59	0	0	0	0	0	0	23	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq47	0	99	0	0	207	25	0	0	0	34	0	0	0	19	0	0	0	82	46	42	151	44	222	0	0	0	39	0	0	0	0	0	324	218	175	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	57	0	0	0	0	0	0	35	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq48	0	94	0	21	31	50	0	0	0	179	0	0	52	52	0	27	15	65	18	19	20	0	0	84	143	131	62	149	22	135	0	0	40	0	18	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	67	151	97	0	0	32	0	0	79	19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq49	375	0	0	112	97	0	0	18	47	0	0	203	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	65	0	434	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	
seq50	0	81	0	0	161	21	0	0	0	20	0	0	0	0	0	0	7	78	34	35	123	67	199	13	0	0	0	0	0	0	0	0	263	182	177	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	39	0	0	0	0	0	0	28	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq51	36	85	0	24	21	43	0	0	0	153	0	0	43	50	0	27	13	61	19	37	0	0	0	77	117	100	51	126	15	104	0	32	34	0	0	40	0	0	0	0	0	0	0	0	0	58	0	0	0	0	35	112	79	22	0	26	32	0	67	19	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq52	0	77	0	39	35	28	0	0	0	173	0	0	55	52	0	17	15	55	14	13	0	0	0	86	123	121	62	171	31	130	0	11	31	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	42	141	82	0	0	22	0	0	57	20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq53	0	61	0	0	141	30	0	0	0	30	0	0	0	0	33	0	0	60	32	31	114	48	192	0	0	0	8	0	0	0	0	0	265	205	136	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	33	0	0	0	0	0	19	27	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
seq54	70	97	0	0	48	33	0	0	0	151	0	0	53	61	0	25	0	59	0	0	0	0	0	98	150	118	67	143	0	134	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	33	109	88	26	0	27	0	0	58	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
seq55	0	0	0	0	0	0	0	343	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bacteria						
seq56	0	0	0	0	0	0	0	0	0	0	0	0	126	0	72	0	0	0	0	0	0	0	0	0	0	0	29	0	41	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	108	52	126	121	0	127	0	0	0	0	0	0	0	0	54	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
seq57	57	0	0	54	49	48	0	131	0	0	0	0	0	0	100	105	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	63	0	0	65	0	0	63	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae		
seq58	0	0	0	0	0	0	0	374	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
seq59	0	0	0	0	0	0	0	0	0	0	51	0	0	60	137	0	136	50	49	86	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	78	141	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	
seq60	0	0	0	0	0	0	0	272	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria						
seq61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales			
seq62	0	0	0	0	0	0	0	280	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	Bacteria						
seq63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	69	171	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	
